end_station_name,station_end_trip_count,station_lat,station_lng,search_radius_m,distance_m,service_category,service_lat,service_lng,name,amenity,shop,tourism,office,leisure,public_transport,railway,highway
Adler Planetarium,12638.0,41.866095,-87.607267,250,43.549041257171055,transit,41.8661395,-87.6077895,Solidarity Drive & Adler Planetarium,,,,,,platform,,bus_stop
Adler Planetarium,12638.0,41.866095,-87.607267,250,76.69020802781299,tourism,41.8656406,-87.6065703,America's Courtyard,,,artwork,,,,,
Adler Planetarium,12638.0,41.866095,-87.607267,250,13.037385328881694,tourism,41.8660023,-87.6071706,Spiral Galaxy,,,artwork,,,,,
Adler Planetarium,12638.0,41.866095,-87.607267,250,217.6398584527808,transit,41.8661078,-87.6098952,Solidarity Drive & Lynn White Drive,,,,,,platform,,bus_stop
Adler Planetarium,12638.0,41.866095,-87.607267,250,227.05041354920291,transit,41.8665223,-87.6099482,Solidarity Drive & Lynn White Drive,,,,,,platform,,bus_stop
Adler Planetarium,12638.0,41.866095,-87.607267,250,72.09997939943007,tourism,41.8667381,-87.6073782,,,,viewpoint,,,,,
Adler Planetarium,12638.0,41.866095,-87.607267,250,44.70096514324711,transit,41.8661922,-87.6077908,Solidarity Drive & Adler Planetarium,,,,,,stop_position,,
Adler Planetarium,12638.0,41.866095,-87.607267,250,218.09818910558792,transit,41.8661653,-87.6098991,Solidarity Drive & Lynn White Drive,,,,,,stop_position,,
Adler Planetarium,12638.0,41.866095,-87.607267,250,225.68370195224446,transit,41.8664715,-87.6099451,Solidarity Drive & Lynn White Drive,,,,,,stop_position,,
Canal St & Adams St,21471.0,41.879255,-87.639904,250,180.42623078813727,transit,41.8790618,-87.6377402,Union Station/Willis Tower,ferry_terminal,,,,,station,,
Canal St & Adams St,21471.0,41.879255,-87.639904,250,27.072611881394693,transit,41.8791728,-87.6395962,Chicago Union Station,,,,,,stop_position,stop,
Canal St & Adams St,21471.0,41.879255,-87.639904,250,46.97481294276651,transit,41.8790649,-87.6393973,Chicago Union Station,,,,,,stop_position,stop,
Canal St & Adams St,21471.0,41.879255,-87.639904,250,59.35554769004927,transit,41.8790674,-87.6392328,Chicago Union Station,,,,,,stop_position,stop,
Canal St & Adams St,21471.0,41.879255,-87.639904,250,71.93088629795122,transit,41.8790699,-87.6390715,Chicago Union Station,,,,,,stop_position,stop,
Canal St & Adams St,21471.0,41.879255,-87.639904,250,85.32197290044402,transit,41.8790725,-87.638903,Chicago Union Station,,,,,,stop_position,stop,
Canal St & Adams St,21471.0,41.879255,-87.639904,250,132.63820536901355,transit,41.8782915,-87.6389595,Chicago Union Station,,,,,,stop_position,stop,
Canal St & Adams St,21471.0,41.879255,-87.639904,250,125.36344505115648,transit,41.8782897,-87.6391217,Chicago Union Station,,,,,,stop_position,stop,
Canal St & Adams St,21471.0,41.879255,-87.639904,250,119.42109098372147,transit,41.8782879,-87.6392767,Chicago Union Station,,,,,,stop_position,stop,
Canal St & Adams St,21471.0,41.879255,-87.639904,250,152.78465981135054,transit,41.8779257,-87.639437,Chicago Union Station,,,,,,stop_position,stop,
Canal St & Adams St,21471.0,41.879255,-87.639904,250,186.88466564986734,education,41.8788616,-87.6420986,Chicago-Kent College of Law,university,,,,,,,
Canal St & Adams St,21471.0,41.879255,-87.639904,250,90.66205098434193,food_drink,41.8795638,-87.6409175,Jimmy John's,fast_food,,,,,,,
Canal St & Adams St,21471.0,41.879255,-87.639904,250,148.09772425747784,food_drink,41.8803651,-87.6408924,Chipotle,fast_food,,,,,,,
Canal St & Adams St,21471.0,41.879255,-87.639904,250,183.37663243444084,education,41.8791013,-87.6421093,IIT Stuart School of Business,university,,,,,,,
Canal St & Adams St,21471.0,41.879255,-87.639904,250,168.5314112534229,food_drink,41.8781929,-87.6384518,Corner Bakery,cafe,,,,,,,
Canal St & Adams St,21471.0,41.879255,-87.639904,250,113.97977435661102,transit,41.8789377,-87.6412131,Clinton & Quincy (Union Station),,,,,,platform,,bus_stop
Canal St & Adams St,21471.0,41.879255,-87.639904,250,47.23151700639025,transit,41.8793931,-87.6393645,Adams & Canal (Union Station),,,,,,platform,,bus_stop
Canal St & Adams St,21471.0,41.879255,-87.639904,250,208.03281810885196,food_drink,41.8779077,-87.6416474,Dunkin',fast_food,,,,,,,
Canal St & Adams St,21471.0,41.879255,-87.639904,250,188.91196202028544,food_drink,41.879485,-87.6376432,Potbelly,fast_food,,,,,,,
Canal St & Adams St,21471.0,41.879255,-87.639904,250,66.4208401614855,transit,41.8790688,-87.6391417,Chicago Union Station,,,,,,stop_position,stop,
Canal St & Adams St,21471.0,41.879255,-87.639904,250,34.232775658278705,transit,41.8791745,-87.6395049,Chicago Union Station,,,,,,stop_position,stop,
Canal St & Adams St,21471.0,41.879255,-87.639904,250,53.90894325630632,transit,41.8790663,-87.6393042,Chicago Union Station,,,,,,stop_position,stop,
Canal St & Adams St,21471.0,41.879255,-87.639904,250,79.82410874865558,transit,41.8790714,-87.6389719,Chicago Union Station,,,,,,stop_position,stop,
