simulation_id,difference_score,education_diff,food_drink_diff,health_diff,office_diff,recreation_diff,retail_diff,tourism_diff,transit_diff
0,0.0010315584442872746,-3.422751701125017e-05,-8.547725307900267e-05,-3.7430893494456996e-05,-0.00019321487337426585,2.313350172676587e-05,-0.0001226858708118228,0.0004926457204168788,-4.274281437283145e-05
1,0.0004961006974624985,-1.333645556882146e-05,-6.615004376397948e-05,6.827426472258771e-05,1.5780778378236826e-05,-2.9642854712587027e-05,-5.328596208620251e-05,0.00016399530563040998,-8.563503259967353e-05
2,0.0013457606341465735,-1.785558764011083e-05,0.00016031183705234042,-9.38540552863909e-06,-0.00019636281130473027,1.0359030411508097e-05,0.00014649481546955,-0.0004492765125997805,0.0003557146341399142
3,0.001041082769340924,1.0156129816247042e-06,-0.00016174573833249717,-1.74882809211227e-05,7.571128262086335e-06,-2.5998109223275556e-05,-0.0003153092561936077,8.007335758244971e-05,0.00043188128584426
4,0.0006577116755570123,2.4455324693373366e-05,0.00020150278428154866,2.6627354699881867e-05,3.5865288948666585e-05,2.452650469593129e-05,-0.0002766395640640962,-5.221627371441995e-05,1.5878580459094405e-05
5,0.0014482880177576077,1.0840360859823601e-05,0.000598263422909584,6.585370215490133e-06,3.9502063202641324e-05,6.895279169128604e-05,-0.00011696053870902112,-0.0003806885296882695,-0.000226494940481492
6,0.00035064949496764215,5.998926782929161e-06,4.513420309260052e-05,7.279871602070692e-06,-8.065868571383028e-06,9.122126654492746e-06,0.00010778961935173359,-0.00013518765430946267,-3.207122460296974e-05
7,0.0013922538011175737,-2.1173458086275708e-05,-0.0006149990927942772,-4.2255201134804715e-05,-1.3357466044139343e-05,-4.3416824992772995e-06,0.00010108981049786192,0.00035534220562856433,0.0002396948844323732
8,0.001959897031237453,-7.098794069324704e-08,-0.00046320540910527175,2.1408864153079493e-05,4.7514177493324095e-05,-1.5400315406182558e-05,0.00014968107775045758,0.0007613443962218858,-0.0005012718031665586
9,0.0008233438949105214,-1.8448847998540213e-05,-0.00020541246704069982,-2.6637034347180844e-05,-9.238726876684838e-05,-3.680118756028278e-05,-3.198514174174161e-05,0.00011722053030238655,0.0002944514171528412
10,0.0007800819270164941,2.8214129624272617e-05,-7.282769861821636e-05,3.472707044099854e-05,-1.5269521827704358e-05,4.061026096821227e-05,0.0002864895024747294,-3.551066989515572e-05,-0.0002664330731672049
11,0.0010361565761292206,-5.149274362266365e-05,0.0003699148458526924,4.4129757935811725e-05,8.337586084003479e-05,9.16293666697321e-06,1.1494886769103374e-05,-0.0002441982999182163,-0.00022238724452372516
12,0.0008601322512833782,-2.0541366782456626e-05,0.00010567713557568803,-7.831306120000339e-05,2.260334375965567e-05,3.94323351688014e-05,0.00018396936402070851,7.838394711680297e-05,-0.0003312116976592616
13,0.001180231005331417,-6.24955280509815e-05,0.00033521860014046334,-1.648348350042836e-05,3.460582733014195e-05,-1.2912080111233959e-05,0.00022029107519511149,-8.106296261356505e-06,-0.0004901181147417
14,0.0003482754687978611,1.2288175190749116e-05,-1.1975078797354932e-05,-2.1339974279589724e-05,-3.380509863342568e-05,3.2894309364045124e-05,0.0001289552498441593,-3.195431669671123e-05,-7.5063265991826e-05
15,0.001776001143641852,-3.0221317625432446e-05,0.0004541824879135681,4.309103982737261e-05,0.00018147816099065017,3.085976841963635e-05,0.00017838911466966367,-0.00031600208837781474,-0.000541777165817714
16,0.0011168628674033503,-6.560144833047538e-06,0.0004235062597758299,-8.270770001339231e-05,0.0001247297263805014,1.0195447545342101e-05,-0.00020809402392027443,-0.00024906306867425454,-1.2006496260708044e-05
